voter_id,dim1,dim2,dim3,jméno,kandidátka,klub,mp_id,name,party,datum
320,-4.408208723500164,-1.5345438540562293,2.411948394792587,,,,320.0,Lukáš Wagenknecht,Piráti,1.0
321,-7.411748184494151,-1.3689265292806947,5.272569238398373,,,,321.0,Marek Hilšer,MHS,1.0
322,6.662933085071813,-3.817301092662241,-4.660197487762411,,,,322.0,Ladislav Chlupáč,ODS,1.0
323,8.17473631225598,-3.201305414971289,-6.153291854951241,,,,323.0,Raduan Nwelati,ODS,1.0
324,2.7630042091580767,-2.660621458829675,-3.310876675071564,,,,324.0,Zdeněk Hraba,STAN,1.0
325,8.141008782269369,-3.0017585978469885,-5.725427467796856,,,,325.0,Jan Tecl,ODS+STAN+STO,1.0
326,7.901050725163481,-2.3980884309563235,-5.936299373100779,,,,326.0,Martin Červíček,ODS,1.0
327,6.483388932268082,-2.9014560898702424,-5.048541989580625,,,,327.0,Michal Kortyš,ODS,1.0
328,-3.1071038868460676,-0.7226149846058783,1.6295119017163162,,,,328.0,Hana Žáková,STAN,1.0
329,7.985752328106012,-2.6038479695963614,-5.526704832392847,,,,329.0,Rostislav Koštial,ODS,1.0
330,-6.661639440307317,-2.7993311647310626,5.292533939829399,,,,330.0,Mikuláš Bek,ZelODSSTANTOP09,1.0
331,8.283549780229347,-4.537229906286912,-6.327382961830933,,,,331.0,Jitka Chalánková,NK,1.0
332,-0.6439624144649411,7.465057625571296,0.11720214656645002,,,,332.0,Miroslav Adámek,ANO,1.0
333,-2.8234515389245014,-2.856812777952239,2.7481509805670026,,,,333.0,Herbert Pavera,ODS+STAN+TOP 09,1.0
334,-4.077477573642661,-3.985380290265357,1.74368840679051,,,,334.0,David Smoljak,STAN+Piráti+TOP,1.0
15,-3.5168773310613286,4.99446731588081,3.085648353520623,,,,15.0,Milan Štěch,ČSSD,2.0
63,-3.450461264228658,-1.2559588510327544,4.934216336883822,,,,63.0,Jitka Seitlová,KDU-ČSL,2.0
92,3.0294409032757748,7.258334024120248,-1.4857747973670414,,,,92.0,Jaroslav Doubrava,S.cz,2.0
134,2.8996860316343365,7.711429863270263,-1.0849954700268802,,,,134.0,Ondřej Feber,ANO,2.0
139,-2.5456067661141133,6.36055807844808,1.8939496264623052,,,,139.0,Ivo Bárek,ČSSD,2.0
169,-3.7142592812504422,-3.65154916913525,0.007286415899458843,,,,169.0,Jan Horník,STAN,2.0
171,7.146082371906056,-0.8637127308890263,-4.0529390850300375,,,,171.0,Tomáš Jirsa,ODS,2.0
172,7.1452362949081145,-2.203111452923059,-2.822250402789631,,,,172.0,Jiří Oberfalzer,KDU+ODS+TOP 09,2.0
206,-1.1541191175963441,6.405807335182779,0.3875831549632588,,,,206.0,Petr Vícha,ČSSD,2.0
207,0.607833403315363,1.1798502777784738,0.08284873914092766,,,,207.0,Jiří Čunek,KDU-ČSL,2.0
211,0.12267289370686729,6.322333466855437,-0.823397536920595,,,,211.0,Miroslav Nenutil,ČSSD,2.0
224,3.1586245728895066,6.018290296701164,-3.9542076090088014,,,,224.0,Miroslav Antl,ČSSD,2.0
231,3.235883219635156,6.428695527232964,-3.8804788078754773,,,,231.0,Radek Sušil,ČSSD,2.0
233,-6.289987205276832,-3.3140116238491113,2.0766429052123048,,,,233.0,Alena Dernerová,SD-SN,2.0
239,2.1509792177784517,6.093670467125081,-1.3129046717674915,,,,239.0,Jaromír Strnad,ČSSD,2.0
240,-5.405115406353117,-0.5599931456716258,4.771781578949521,,,,240.0,Miluše Horská,KDU-ČSL+Nestran,2.0
241,-0.5291502389464973,1.4248193700155651,3.7510977693991987,,,,241.0,Petr Šilar,KDU-ČSL,2.0
243,6.080647665405826,-1.8670066176341926,-2.2136658757668513,,,,243.0,Miloš Vystrčil,KDU+ODS+TOP 09,2.0
244,-3.2874420255934447,6.233399009327826,0.6000178247201184,,,,244.0,Jan Žaloudík,ČSSD,2.0
253,-5.2265077777918005,2.8239856106658805,4.953048597661761,,,,253.0,Jiří Dienstbier,ČSSD,2.0
