mp_id,name,constituency_id,party,since,until,photo,link
244,Jan Žaloudík,55,ČSSD,2010-10-23,2016-10-23,/images/senatori/zaloudikj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.01.2011&lng=cz&par_3=244
244,Jan Žaloudík,55,ČSSD,2016-10-15,2022-10-15,/images/senatori/zaloudikj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=15.01.2017&lng=cz&par_3=244
194,Tomáš Töpfer,55,KDU+ODS+TOP 09,2022-10-01,2028-10-01,/images/senatori/topfert_295.jpg,https://senat.cz/senatori/index.php?ke_dni=01.01.2023&lng=cz&par_3=194
56,Jiří Pavlov,56,ODS,1996-11-23,2000-11-23,/images/senatori/pavlovj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=56
128,Vladimír Schovánek,56,US,2000-11-19,2006-11-19,/images/senatori/schovanekv_295.jpg,https://senat.cz/senatori/index.php?ke_dni=19.02.2001&lng=cz&par_3=128
201,Jan Hajda,56,ČSSD,2006-10-28,2012-10-28,/images/senatori/hajdaj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=28.01.2007&lng=cz&par_3=201
201,Jan Hajda,56,ČSSD,2012-10-20,2018-02-27,/images/senatori/hajdaj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=20.01.2013&lng=cz&par_3=201
329,Rostislav Koštial,56,ODS,2018-10-13,2024-10-13,/images/senatori/kostialr_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.01.2019&lng=cz&par_3=329
57,Oldřich Dočekal,57,KDU-ČSL,1996-11-23,2002-11-23,/images/senatori/docekalo_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=57
139,Ivo Bárek,57,ČSSD,2002-11-02,2008-11-02,/images/senatori/bareki_295.jpg,https://senat.cz/senatori/index.php?ke_dni=02.02.2003&lng=cz&par_3=139
139,Ivo Bárek,57,ČSSD,2008-10-25,2014-10-25,/images/senatori/bareki_295.jpg,https://senat.cz/senatori/index.php?ke_dni=25.01.2009&lng=cz&par_3=139
139,Ivo Bárek,57,ČSSD,2014-10-18,2020-10-18,/images/senatori/bareki_295.jpg,https://senat.cz/senatori/index.php?ke_dni=18.01.2015&lng=cz&par_3=139
349,Karel Zitterbart,57,STAN,2020-10-10,2026-10-10,/images/senatori/zitterbartk_295.jpg,https://senat.cz/senatori/index.php?ke_dni=10.01.2021&lng=cz&par_3=349
58,Luděk Zahradníček,58,ODS,1996-11-23,1998-11-23,/images/senatori/zahradnicekl_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=58
101,Dagmar Lastovecká,58,ODS,1998-11-21,2003-08-29,/images/senatori/lastoveckad_295.jpg,https://senat.cz/senatori/index.php?ke_dni=21.02.1999&lng=cz&par_3=101
166,Karel Jarůšek,58,ODS,2003-11-08,2004-11-21,/images/senatori/jarusekk_295.jpg,https://senat.cz/senatori/index.php?ke_dni=08.02.2004&lng=cz&par_3=166
182,Rostislav Slavotínek,58,KDU-ČSL,2004-11-13,2010-11-13,/images/senatori/slavotinekr_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.02.2005&lng=cz&par_3=182
245,Stanislav Juránek,58,KDU-ČSL,2010-10-23,2016-10-23,/images/senatori/juraneks_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.01.2011&lng=cz&par_3=245
303,Jiří Dušek,58,ANO 2011,2016-10-15,2022-10-15,/images/senatori/dusekj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=15.01.2017&lng=cz&par_3=303
